texte,label
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 4593)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 9279)",cv
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 6514),cv
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 9835)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 9317)",offre
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 6573)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 7216)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 6539),cv
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 1117)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 6925),offre
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 5010)",offre
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 9423)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 8397),offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 5386)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 4510)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 4750)",cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 8428)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 8787)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 4483)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 8573)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 3927)",offre
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 1434)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 2133)",offre
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 7543)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 9751),offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 6820)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 7482)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 3677)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 9317),offre
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 3646)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 7912)",offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 9928)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 5554)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 1525)",cv
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 3060),cv
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 7916)",offre
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 1009)",cv
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 9005)",cv
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 9479)",offre
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 6168)",cv
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 2084)",cv
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 6804)",cv
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 1711)",cv
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 3615)",offre
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 5315)",offre
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 2588)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 4527)",offre
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 7873)",cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 1949)",offre
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 3340)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 5371)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 4608)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 3286),offre
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 2743)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 5808)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 1916)",cv
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 6947)",offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 9085)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 4770)",cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 3266)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 2049)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 9348)",cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 2674)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 2535)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 6881)",cv
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 3591)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 7201)",offre
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 8744)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 9830),cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 6310)",cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 2307)",cv
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 5889)",offre
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 7118)",offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 3045),offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 8123)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 9797)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 6574)",offre
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 2832)",cv
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 1771)",offre
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 1188)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 5506)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 7572)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 4150)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 9834)",offre
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 8749)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 8517),offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 7537),offre
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 6635)",cv
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 4981),cv
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 4432),offre
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 5557)",offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 6038),offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 2796),offre
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 7224)",cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 1488)",cv
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 2545)",cv
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 4295)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 2679)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 5552)",offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 8433)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 4657)",offre
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 2519)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 4923)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 2290),offre
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 9669)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 4946)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 1520),cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 5374)",offre
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 2876)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 2403)",offre
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 2982)",offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 2824)",offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 7939)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 3705)",cv
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 5422),cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 9201)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 3803)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 5803)",offre
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 8177)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 3547)",offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 9785)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 8668)",offre
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 9645)",cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 7932)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 7924),offre
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 1106)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 5562)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 8962)",offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 6155),offre
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 8527)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 4681)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 2139)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 6930)",cv
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 5342)",cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 2291)",offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 1319)",cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 5012)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 2040),offre
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 2654)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 9837)",cv
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 6413)",offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 2104)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 8953),offre
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 4733)",offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 4456)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 2584)",cv
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 9935)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 5119),cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 5304)",cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 9179)",offre
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 1964)",cv
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 2160),offre
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 5040)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 2424)",offre
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 4582)",cv
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 7065)",cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 1344)",cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 7126)",cv
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 4257)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 6313)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 2163)",cv
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 9689)",cv
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 5061)",offre
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 4899)",offre
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 2169)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 7227)",cv
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 7252)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 5741),cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 8062)",cv
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 3664)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 1750)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 3287)",offre
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 8359),offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 6977)",cv
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 6107)",offre
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 7669)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 4258)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 5333)",cv
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 4470)",cv
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 4119)",cv
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 1409),offre
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 4814)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 9727)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 3504),cv
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 3103)",cv
"Recrutement urgent : technicien réseau, habilitation sécurité souhaitée, contrat 12 mois renouvelable. (réf. 3621)",offre
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 2489)",cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 2827)",cv
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 5339)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 4752)",cv
Poste de Data Scientist à pourvoir immédiatement. Maîtrise de scikit-learn et SQL indispensable. Bac+5 requis. (réf. 1053),offre
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 7735)",cv
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 4611)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 3167)",offre
"Data Analyst junior, maîtrise de Power BI et Excel avancé. À la recherche d'une opportunité en CDI sur Paris. (id 4598)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 7304)",offre
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 4811)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 8019)",cv
"Graphiste freelance, maîtrise Adobe Suite, portfolio disponible sur demande, ouvert au CDI. (id 1514)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 3504)",offre
